file_id,filepath,type,subset
100.wav,/Data//LibriTTS/train_clean_360_24000c/100.wav,input,train
1001.wav,/Data//LibriTTS/train_clean_360_24000c/1001.wav,input,train
101.wav,/Data//LibriTTS/train_clean_360_24000c/101.wav,input,train
1012.wav,/Data//LibriTTS/train_clean_360_24000c/1012.wav,input,train
1018.wav,/Data//LibriTTS/train_clean_360_24000c/1018.wav,input,train
1025.wav,/Data//LibriTTS/train_clean_360_24000c/1025.wav,input,train
1027.wav,/Data//LibriTTS/train_clean_360_24000c/1027.wav,input,train
1028.wav,/Data//LibriTTS/train_clean_360_24000c/1028.wav,input,train
1046.wav,/Data//LibriTTS/train_clean_360_24000c/1046.wav,input,train
1050.wav,/Data//LibriTTS/train_clean_360_24000c/1050.wav,input,train
1052.wav,/Data//LibriTTS/train_clean_360_24000c/1052.wav,input,train
1053.wav,/Data//LibriTTS/train_clean_360_24000c/1053.wav,input,train
1054.wav,/Data//LibriTTS/train_clean_360_24000c/1054.wav,input,train
1058.wav,/Data//LibriTTS/train_clean_360_24000c/1058.wav,input,train
1060.wav,/Data//LibriTTS/train_clean_360_24000c/1060.wav,input,train
1061.wav,/Data//LibriTTS/train_clean_360_24000c/1061.wav,input,train
1066.wav,/Data//LibriTTS/train_clean_360_24000c/1066.wav,input,train
1079.wav,/Data//LibriTTS/train_clean_360_24000c/1079.wav,input,train
1093.wav,/Data//LibriTTS/train_clean_360_24000c/1093.wav,input,train
1100.wav,/Data//LibriTTS/train_clean_360_24000c/1100.wav,input,train
1112.wav,/Data//LibriTTS/train_clean_360_24000c/1112.wav,input,train
112.wav,/Data//LibriTTS/train_clean_360_24000c/112.wav,input,train
1121.wav,/Data//LibriTTS/train_clean_360_24000c/1121.wav,input,train
114.wav,/Data//LibriTTS/train_clean_360_24000c/114.wav,input,train
115.wav,/Data//LibriTTS/train_clean_360_24000c/115.wav,input,train
1160.wav,/Data//LibriTTS/train_clean_360_24000c/1160.wav,input,train
1165.wav,/Data//LibriTTS/train_clean_360_24000c/1165.wav,input,train
1175.wav,/Data//LibriTTS/train_clean_360_24000c/1175.wav,input,train
1182.wav,/Data//LibriTTS/train_clean_360_24000c/1182.wav,input,train
119.wav,/Data//LibriTTS/train_clean_360_24000c/119.wav,input,train
1195.wav,/Data//LibriTTS/train_clean_360_24000c/1195.wav,input,train
1212.wav,/Data//LibriTTS/train_clean_360_24000c/1212.wav,input,train
122.wav,/Data//LibriTTS/train_clean_360_24000c/122.wav,input,train
1222.wav,/Data//LibriTTS/train_clean_360_24000c/1222.wav,input,train
1224.wav,/Data//LibriTTS/train_clean_360_24000c/1224.wav,input,train
1226.wav,/Data//LibriTTS/train_clean_360_24000c/1226.wav,input,train
1241.wav,/Data//LibriTTS/train_clean_360_24000c/1241.wav,input,train
1259.wav,/Data//LibriTTS/train_clean_360_24000c/1259.wav,input,train
126.wav,/Data//LibriTTS/train_clean_360_24000c/126.wav,input,train
1264.wav,/Data//LibriTTS/train_clean_360_24000c/1264.wav,input,train
1265.wav,/Data//LibriTTS/train_clean_360_24000c/1265.wav,input,train
1271.wav,/Data//LibriTTS/train_clean_360_24000c/1271.wav,input,train
1283.wav,/Data//LibriTTS/train_clean_360_24000c/1283.wav,input,train
1289.wav,/Data//LibriTTS/train_clean_360_24000c/1289.wav,input,train
1290.wav,/Data//LibriTTS/train_clean_360_24000c/1290.wav,input,train
1296.wav,/Data//LibriTTS/train_clean_360_24000c/1296.wav,input,train
1311.wav,/Data//LibriTTS/train_clean_360_24000c/1311.wav,input,train
1313.wav,/Data//LibriTTS/train_clean_360_24000c/1313.wav,input,train
1316.wav,/Data//LibriTTS/train_clean_360_24000c/1316.wav,input,train
1322.wav,/Data//LibriTTS/train_clean_360_24000c/1322.wav,input,train
1323.wav,/Data//LibriTTS/train_clean_360_24000c/1323.wav,input,train
1335.wav,/Data//LibriTTS/train_clean_360_24000c/1335.wav,input,train
1336.wav,/Data//LibriTTS/train_clean_360_24000c/1336.wav,input,train
1337.wav,/Data//LibriTTS/train_clean_360_24000c/1337.wav,input,train
1343.wav,/Data//LibriTTS/train_clean_360_24000c/1343.wav,input,train
1348.wav,/Data//LibriTTS/train_clean_360_24000c/1348.wav,input,train
1349.wav,/Data//LibriTTS/train_clean_360_24000c/1349.wav,input,train
1365.wav,/Data//LibriTTS/train_clean_360_24000c/1365.wav,input,train
1379.wav,/Data//LibriTTS/train_clean_360_24000c/1379.wav,input,train
1382.wav,/Data//LibriTTS/train_clean_360_24000c/1382.wav,input,train
1383.wav,/Data//LibriTTS/train_clean_360_24000c/1383.wav,input,train
1387.wav,/Data//LibriTTS/train_clean_360_24000c/1387.wav,input,train
1390.wav,/Data//LibriTTS/train_clean_360_24000c/1390.wav,input,train
1392.wav,/Data//LibriTTS/train_clean_360_24000c/1392.wav,input,train
14.wav,/Data//LibriTTS/train_clean_360_24000c/14.wav,input,train
1401.wav,/Data//LibriTTS/train_clean_360_24000c/1401.wav,input,train
1413.wav,/Data//LibriTTS/train_clean_360_24000c/1413.wav,input,train
1417.wav,/Data//LibriTTS/train_clean_360_24000c/1417.wav,input,train
1422.wav,/Data//LibriTTS/train_clean_360_24000c/1422.wav,input,train
1425.wav,/Data//LibriTTS/train_clean_360_24000c/1425.wav,input,train
1445.wav,/Data//LibriTTS/train_clean_360_24000c/1445.wav,input,train
1446.wav,/Data//LibriTTS/train_clean_360_24000c/1446.wav,input,train
1448.wav,/Data//LibriTTS/train_clean_360_24000c/1448.wav,input,train
1460.wav,/Data//LibriTTS/train_clean_360_24000c/1460.wav,input,train
1463.wav,/Data//LibriTTS/train_clean_360_24000c/1463.wav,input,train
1472.wav,/Data//LibriTTS/train_clean_360_24000c/1472.wav,input,train
1473.wav,/Data//LibriTTS/train_clean_360_24000c/1473.wav,input,train
1482.wav,/Data//LibriTTS/train_clean_360_24000c/1482.wav,input,train
1487.wav,/Data//LibriTTS/train_clean_360_24000c/1487.wav,input,train
1498.wav,/Data//LibriTTS/train_clean_360_24000c/1498.wav,input,train
1509.wav,/Data//LibriTTS/train_clean_360_24000c/1509.wav,input,train
1513.wav,/Data//LibriTTS/train_clean_360_24000c/1513.wav,input,train
1535.wav,/Data//LibriTTS/train_clean_360_24000c/1535.wav,input,train
1536.wav,/Data//LibriTTS/train_clean_360_24000c/1536.wav,input,train
154.wav,/Data//LibriTTS/train_clean_360_24000c/154.wav,input,train
1547.wav,/Data//LibriTTS/train_clean_360_24000c/1547.wav,input,train
1552.wav,/Data//LibriTTS/train_clean_360_24000c/1552.wav,input,train
1556.wav,/Data//LibriTTS/train_clean_360_24000c/1556.wav,input,train
157.wav,/Data//LibriTTS/train_clean_360_24000c/157.wav,input,train
1571.wav,/Data//LibriTTS/train_clean_360_24000c/1571.wav,input,train
159.wav,/Data//LibriTTS/train_clean_360_24000c/159.wav,input,train
16.wav,/Data//LibriTTS/train_clean_360_24000c/16.wav,input,train
1603.wav,/Data//LibriTTS/train_clean_360_24000c/1603.wav,input,train
1607.wav,/Data//LibriTTS/train_clean_360_24000c/1607.wav,input,train
1629.wav,/Data//LibriTTS/train_clean_360_24000c/1629.wav,input,train
1638.wav,/Data//LibriTTS/train_clean_360_24000c/1638.wav,input,train
1639.wav,/Data//LibriTTS/train_clean_360_24000c/1639.wav,input,train
1641.wav,/Data//LibriTTS/train_clean_360_24000c/1641.wav,input,train
1645.wav,/Data//LibriTTS/train_clean_360_24000c/1645.wav,input,train
1649.wav,/Data//LibriTTS/train_clean_360_24000c/1649.wav,input,train
166.wav,/Data//LibriTTS/train_clean_360_24000c/166.wav,input,train
1668.wav,/Data//LibriTTS/train_clean_360_24000c/1668.wav,input,train
1678.wav,/Data//LibriTTS/train_clean_360_24000c/1678.wav,input,train
17.wav,/Data//LibriTTS/train_clean_360_24000c/17.wav,input,train
1705.wav,/Data//LibriTTS/train_clean_360_24000c/1705.wav,input,train
1724.wav,/Data//LibriTTS/train_clean_360_24000c/1724.wav,input,train
1731.wav,/Data//LibriTTS/train_clean_360_24000c/1731.wav,input,train
1734.wav,/Data//LibriTTS/train_clean_360_24000c/1734.wav,input,train
1740.wav,/Data//LibriTTS/train_clean_360_24000c/1740.wav,input,train
1748.wav,/Data//LibriTTS/train_clean_360_24000c/1748.wav,input,train
175.wav,/Data//LibriTTS/train_clean_360_24000c/175.wav,input,train
1752.wav,/Data//LibriTTS/train_clean_360_24000c/1752.wav,input,train
1754.wav,/Data//LibriTTS/train_clean_360_24000c/1754.wav,input,train
176.wav,/Data//LibriTTS/train_clean_360_24000c/176.wav,input,train
1769.wav,/Data//LibriTTS/train_clean_360_24000c/1769.wav,input,train
1776.wav,/Data//LibriTTS/train_clean_360_24000c/1776.wav,input,train
1777.wav,/Data//LibriTTS/train_clean_360_24000c/1777.wav,input,train
1779.wav,/Data//LibriTTS/train_clean_360_24000c/1779.wav,input,train
1789.wav,/Data//LibriTTS/train_clean_360_24000c/1789.wav,input,train
1801.wav,/Data//LibriTTS/train_clean_360_24000c/1801.wav,input,train
1806.wav,/Data//LibriTTS/train_clean_360_24000c/1806.wav,input,train
1811.wav,/Data//LibriTTS/train_clean_360_24000c/1811.wav,input,train
1825.wav,/Data//LibriTTS/train_clean_360_24000c/1825.wav,input,train
1826.wav,/Data//LibriTTS/train_clean_360_24000c/1826.wav,input,train
1827.wav,/Data//LibriTTS/train_clean_360_24000c/1827.wav,input,train
1845.wav,/Data//LibriTTS/train_clean_360_24000c/1845.wav,input,train
1849.wav,/Data//LibriTTS/train_clean_360_24000c/1849.wav,input,train
1851.wav,/Data//LibriTTS/train_clean_360_24000c/1851.wav,input,train
1859.wav,/Data//LibriTTS/train_clean_360_24000c/1859.wav,input,train
1874.wav,/Data//LibriTTS/train_clean_360_24000c/1874.wav,input,train
188.wav,/Data//LibriTTS/train_clean_360_24000c/188.wav,input,train
1885.wav,/Data//LibriTTS/train_clean_360_24000c/1885.wav,input,train
1903.wav,/Data//LibriTTS/train_clean_360_24000c/1903.wav,input,train
1913.wav,/Data//LibriTTS/train_clean_360_24000c/1913.wav,input,train
1914.wav,/Data//LibriTTS/train_clean_360_24000c/1914.wav,input,train
192.wav,/Data//LibriTTS/train_clean_360_24000c/192.wav,input,train
1923.wav,/Data//LibriTTS/train_clean_360_24000c/1923.wav,input,train
1933.wav,/Data//LibriTTS/train_clean_360_24000c/1933.wav,input,train
1943.wav,/Data//LibriTTS/train_clean_360_24000c/1943.wav,input,train
1944.wav,/Data//LibriTTS/train_clean_360_24000c/1944.wav,input,train
1958.wav,/Data//LibriTTS/train_clean_360_24000c/1958.wav,input,train
1961.wav,/Data//LibriTTS/train_clean_360_24000c/1961.wav,input,train
1974.wav,/Data//LibriTTS/train_clean_360_24000c/1974.wav,input,train
1987.wav,/Data//LibriTTS/train_clean_360_24000c/1987.wav,input,train
2004.wav,/Data//LibriTTS/train_clean_360_24000c/2004.wav,input,train
2010.wav,/Data//LibriTTS/train_clean_360_24000c/2010.wav,input,train
2012.wav,/Data//LibriTTS/train_clean_360_24000c/2012.wav,input,train
203.wav,/Data//LibriTTS/train_clean_360_24000c/203.wav,input,train
2039.wav,/Data//LibriTTS/train_clean_360_24000c/2039.wav,input,train
204.wav,/Data//LibriTTS/train_clean_360_24000c/204.wav,input,train
2045.wav,/Data//LibriTTS/train_clean_360_24000c/2045.wav,input,train
205.wav,/Data//LibriTTS/train_clean_360_24000c/205.wav,input,train
2053.wav,/Data//LibriTTS/train_clean_360_24000c/2053.wav,input,train
2056.wav,/Data//LibriTTS/train_clean_360_24000c/2056.wav,input,train
2060.wav,/Data//LibriTTS/train_clean_360_24000c/2060.wav,input,train
2061.wav,/Data//LibriTTS/train_clean_360_24000c/2061.wav,input,train
207.wav,/Data//LibriTTS/train_clean_360_24000c/207.wav,input,train
2074.wav,/Data//LibriTTS/train_clean_360_24000c/2074.wav,input,train
208.wav,/Data//LibriTTS/train_clean_360_24000c/208.wav,input,train
2085.wav,/Data//LibriTTS/train_clean_360_24000c/2085.wav,input,train
209.wav,/Data//LibriTTS/train_clean_360_24000c/209.wav,input,train
2093.wav,/Data//LibriTTS/train_clean_360_24000c/2093.wav,input,train
210.wav,/Data//LibriTTS/train_clean_360_24000c/210.wav,input,train
2110.wav,/Data//LibriTTS/train_clean_360_24000c/2110.wav,input,train
2113.wav,/Data//LibriTTS/train_clean_360_24000c/2113.wav,input,train
2127.wav,/Data//LibriTTS/train_clean_360_24000c/2127.wav,input,train
2137.wav,/Data//LibriTTS/train_clean_360_24000c/2137.wav,input,train
2146.wav,/Data//LibriTTS/train_clean_360_24000c/2146.wav,input,train
2149.wav,/Data//LibriTTS/train_clean_360_24000c/2149.wav,input,train
2156.wav,/Data//LibriTTS/train_clean_360_24000c/2156.wav,input,train
216.wav,/Data//LibriTTS/train_clean_360_24000c/216.wav,input,train
2162.wav,/Data//LibriTTS/train_clean_360_24000c/2162.wav,input,train
2167.wav,/Data//LibriTTS/train_clean_360_24000c/2167.wav,input,train
217.wav,/Data//LibriTTS/train_clean_360_24000c/217.wav,input,train
2194.wav,/Data//LibriTTS/train_clean_360_24000c/2194.wav,input,train
22.wav,/Data//LibriTTS/train_clean_360_24000c/22.wav,input,train
2201.wav,/Data//LibriTTS/train_clean_360_24000c/2201.wav,input,train
2204.wav,/Data//LibriTTS/train_clean_360_24000c/2204.wav,input,train
2229.wav,/Data//LibriTTS/train_clean_360_24000c/2229.wav,input,train
2230.wav,/Data//LibriTTS/train_clean_360_24000c/2230.wav,input,train
2238.wav,/Data//LibriTTS/train_clean_360_24000c/2238.wav,input,train
224.wav,/Data//LibriTTS/train_clean_360_24000c/224.wav,input,train
2240.wav,/Data//LibriTTS/train_clean_360_24000c/2240.wav,input,train
225.wav,/Data//LibriTTS/train_clean_360_24000c/225.wav,input,train
2254.wav,/Data//LibriTTS/train_clean_360_24000c/2254.wav,input,train
2256.wav,/Data//LibriTTS/train_clean_360_24000c/2256.wav,input,train
2269.wav,/Data//LibriTTS/train_clean_360_24000c/2269.wav,input,train
227.wav,/Data//LibriTTS/train_clean_360_24000c/227.wav,input,train
2272.wav,/Data//LibriTTS/train_clean_360_24000c/2272.wav,input,train
2285.wav,/Data//LibriTTS/train_clean_360_24000c/2285.wav,input,train
2294.wav,/Data//LibriTTS/train_clean_360_24000c/2294.wav,input,train
2299.wav,/Data//LibriTTS/train_clean_360_24000c/2299.wav,input,train
231.wav,/Data//LibriTTS/train_clean_360_24000c/231.wav,input,train
2319.wav,/Data//LibriTTS/train_clean_360_24000c/2319.wav,input,train
2364.wav,/Data//LibriTTS/train_clean_360_24000c/2364.wav,input,train
2368.wav,/Data//LibriTTS/train_clean_360_24000c/2368.wav,input,train
2388.wav,/Data//LibriTTS/train_clean_360_24000c/2388.wav,input,train
2393.wav,/Data//LibriTTS/train_clean_360_24000c/2393.wav,input,train
2397.wav,/Data//LibriTTS/train_clean_360_24000c/2397.wav,input,train
240.wav,/Data//LibriTTS/train_clean_360_24000c/240.wav,input,train
2401.wav,/Data//LibriTTS/train_clean_360_24000c/2401.wav,input,train
2404.wav,/Data//LibriTTS/train_clean_360_24000c/2404.wav,input,train
2411.wav,/Data//LibriTTS/train_clean_360_24000c/2411.wav,input,train
242.wav,/Data//LibriTTS/train_clean_360_24000c/242.wav,input,train
2427.wav,/Data//LibriTTS/train_clean_360_24000c/2427.wav,input,train
246.wav,/Data//LibriTTS/train_clean_360_24000c/246.wav,input,train
2473.wav,/Data//LibriTTS/train_clean_360_24000c/2473.wav,input,train
2481.wav,/Data//LibriTTS/train_clean_360_24000c/2481.wav,input,train
249.wav,/Data//LibriTTS/train_clean_360_24000c/249.wav,input,train
2494.wav,/Data//LibriTTS/train_clean_360_24000c/2494.wav,input,train
2498.wav,/Data//LibriTTS/train_clean_360_24000c/2498.wav,input,train
2499.wav,/Data//LibriTTS/train_clean_360_24000c/2499.wav,input,train
2512.wav,/Data//LibriTTS/train_clean_360_24000c/2512.wav,input,train
2517.wav,/Data//LibriTTS/train_clean_360_24000c/2517.wav,input,train
2531.wav,/Data//LibriTTS/train_clean_360_24000c/2531.wav,input,train
2532.wav,/Data//LibriTTS/train_clean_360_24000c/2532.wav,input,train
2562.wav,/Data//LibriTTS/train_clean_360_24000c/2562.wav,input,train
2570.wav,/Data//LibriTTS/train_clean_360_24000c/2570.wav,input,train
2573.wav,/Data//LibriTTS/train_clean_360_24000c/2573.wav,input,train
2577.wav,/Data//LibriTTS/train_clean_360_24000c/2577.wav,input,train
258.wav,/Data//LibriTTS/train_clean_360_24000c/258.wav,input,train
2581.wav,/Data//LibriTTS/train_clean_360_24000c/2581.wav,input,train
2582.wav,/Data//LibriTTS/train_clean_360_24000c/2582.wav,input,train
2589.wav,/Data//LibriTTS/train_clean_360_24000c/2589.wav,input,train
2592.wav,/Data//LibriTTS/train_clean_360_24000c/2592.wav,input,train
2598.wav,/Data//LibriTTS/train_clean_360_24000c/2598.wav,input,train
2618.wav,/Data//LibriTTS/train_clean_360_24000c/2618.wav,input,train
2628.wav,/Data//LibriTTS/train_clean_360_24000c/2628.wav,input,train
2638.wav,/Data//LibriTTS/train_clean_360_24000c/2638.wav,input,train
2652.wav,/Data//LibriTTS/train_clean_360_24000c/2652.wav,input,train
2654.wav,/Data//LibriTTS/train_clean_360_24000c/2654.wav,input,train
2673.wav,/Data//LibriTTS/train_clean_360_24000c/2673.wav,input,train
2674.wav,/Data//LibriTTS/train_clean_360_24000c/2674.wav,input,train
2688.wav,/Data//LibriTTS/train_clean_360_24000c/2688.wav,input,train
2696.wav,/Data//LibriTTS/train_clean_360_24000c/2696.wav,input,train
2709.wav,/Data//LibriTTS/train_clean_360_24000c/2709.wav,input,train
272.wav,/Data//LibriTTS/train_clean_360_24000c/272.wav,input,train
274.wav,/Data//LibriTTS/train_clean_360_24000c/274.wav,input,train
2741.wav,/Data//LibriTTS/train_clean_360_24000c/2741.wav,input,train
2751.wav,/Data//LibriTTS/train_clean_360_24000c/2751.wav,input,train
2758.wav,/Data//LibriTTS/train_clean_360_24000c/2758.wav,input,train
2769.wav,/Data//LibriTTS/train_clean_360_24000c/2769.wav,input,train
2774.wav,/Data//LibriTTS/train_clean_360_24000c/2774.wav,input,train
2775.wav,/Data//LibriTTS/train_clean_360_24000c/2775.wav,input,train
278.wav,/Data//LibriTTS/train_clean_360_24000c/278.wav,input,train
2785.wav,/Data//LibriTTS/train_clean_360_24000c/2785.wav,input,train
2787.wav,/Data//LibriTTS/train_clean_360_24000c/2787.wav,input,train
2790.wav,/Data//LibriTTS/train_clean_360_24000c/2790.wav,input,train
28.wav,/Data//LibriTTS/train_clean_360_24000c/28.wav,input,train
2812.wav,/Data//LibriTTS/train_clean_360_24000c/2812.wav,input,train
2816.wav,/Data//LibriTTS/train_clean_360_24000c/2816.wav,input,train
2823.wav,/Data//LibriTTS/train_clean_360_24000c/2823.wav,input,train
2827.wav,/Data//LibriTTS/train_clean_360_24000c/2827.wav,input,train
2853.wav,/Data//LibriTTS/train_clean_360_24000c/2853.wav,input,train
288.wav,/Data//LibriTTS/train_clean_360_24000c/288.wav,input,train
2882.wav,/Data//LibriTTS/train_clean_360_24000c/2882.wav,input,train
2920.wav,/Data//LibriTTS/train_clean_360_24000c/2920.wav,input,train
2929.wav,/Data//LibriTTS/train_clean_360_24000c/2929.wav,input,train
296.wav,/Data//LibriTTS/train_clean_360_24000c/296.wav,input,train
2960.wav,/Data//LibriTTS/train_clean_360_24000c/2960.wav,input,train
2971.wav,/Data//LibriTTS/train_clean_360_24000c/2971.wav,input,train
2992.wav,/Data//LibriTTS/train_clean_360_24000c/2992.wav,input,train
2999.wav,/Data//LibriTTS/train_clean_360_24000c/2999.wav,input,train
